university,program,description,link
University of Ottawa,Honours BA in English,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/21
University of Ottawa,Joint Honours BA in Communication and Political Science,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/22
University of Ottawa,Joint Honours BA in Communication and Sociology,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/23
University of Ottawa,Honours BA in Communication,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/24
University of Ottawa,Honours BA with major in Communication,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/25
University of Ottawa,Honours BA with major in English as a Second Language,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/26
University of Ottawa,Honours BA with major in English,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/27
University of Ottawa,Honours BA with major in Environmental Studies,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/28
University of Ottawa,Honours BA in Environmental Studies,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/29
University of Ottawa,Honours BA in Philosophy,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/30
University of Ottawa,Joint Honours BA in Philosophy and Political Science,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/31
University of Ottawa,Honours BA with major in Theatre,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/33
University of Ottawa,Honours BA in French-English Translation (two years),"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/34
University of Ottawa,Honours BA with major in Visual Arts,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/35
